Nom,Categorie,Quantite,Zone,Priorite
Drone_Defense,Arme,147,Armurerie,HAUTE
ZPM_Reserve,Energie,0,Generateur,CRITIQUE
Cristal_Controle,Composant,23,Stock,MOYENNE
Ration_MRE,Nourriture,2000,Mess,BASSE
Generateur_Naquadah,Energie,3,Ingenierie,HAUTE
Module_Bouclier,Defense,12,Tour_Nord,HAUTE
Detecteur_Vie,Capteur,8,Labo_McKay,MOYENNE
Kit_Medical,Medical,45,Infirmerie,MOYENNE
Jumper_Operationnel,Transport,6,Hangar,HAUTE
Barre_Energetique_McKay,Nourriture,2,Labo_McKay,CRITIQUE
Cristal_Donnees,Stockage,156,Serveurs,BASSE
Combinaison_EVA,Equipement,4,Stockage,MOYENNE
Emetteur_Subspacial,Communication,1,Salle_Controle,CRITIQUE
C4_Explosif,Arme,30,Armurerie,MOYENNE
Tablette_Ancienne,Interface,7,Labo_Jackson,MOYENNE
Serum_Anti_Wraith,Medical,3,Infirmerie,CRITIQUE
Filtre_Eau,Survie,15,Ingenierie,HAUTE
Naquadah_Brut,Materiau,50,Stockage,MOYENNE
Balise_SG,Communication,9,Armurerie,MOYENNE
Alimentation_Secours,Energie,5,Ingenierie,HAUTE
